SMI,canonical_smi,lambda_max_exp_nm,MolWt,MolLogP,TPSA,NumHDonors,NumHAcceptors,NumRotatableBonds,RingCount,NumAromaticRings,FractionCSP3,HeavyAtomCount,NumValenceElectrons,MolLogP_clipped
Oc1cccc(c1C=Nc1ccc(cc1)n1c(=O)c2ccc3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)c1ccc(cc1)N=Cc1c(O)cccc1[N+](=O)[O-])[N+](=O)[O-],O=C1c2ccc3c4ccc5c6c(ccc(c7ccc(c2c37)C(=O)N1c1ccc(N=Cc2c(O)cccc2[N+](=O)[O-])cc1)c64)C(=O)N(c1ccc(N=Cc2c(O)cccc2[N+](=O)[O-])cc1)C5=O,526.0,870.79,10.06719999999999,226.22,2,12,8,11,9,0.0,66,316,10.06719999999999
CN(c1ccc(cc1)C=Nc1ccc(cc1)n1c(=O)c2ccc3c4c2c(c1=O)ccc4c1c2c3ccc3c2c(cc1)c(=O)n(c3=O)c1ccc(cc1)N=Cc1ccc(cc1)N(C)C)C,CN(C)c1ccc(C=Nc2ccc(N3C(=O)c4ccc5c6ccc7c8c(ccc(c9ccc(c4c59)C3=O)c86)C(=O)N(c3ccc(N=Cc4ccc(N(C)C)cc4)cc3)C7=O)cc2)cc1,523.0,834.936,10.971599999999988,105.95999999999998,0,8,8,11,9,0.07407407407407407,64,308,10.971599999999988
N1CCNCC1,C1CNCCN1,414.0,86.138,-0.8208,24.06,2,2,0,1,0,1.0,6,36,-0.8208
Oc1ccccc1COc1c(OCc2ccccc2)cc(c(c1OCc1ccccc1)c1ccccc1)C(=O)[O-],O=C([O-])c1cc(OCc2ccccc2)c(OCc2ccccc2O)c(OCc2ccccc2)c1-c1ccccc1,268.0,531.5840000000003,6.159700000000006,88.05000000000001,1,6,11,5,5,0.08823529411764706,40,200,6.159700000000006
Oc1cccc(c1)COc1c(OCc2ccccc2)cc(c(c1OCc1ccccc1)c1ccccc1)C(=O)[O-],O=C([O-])c1cc(OCc2ccccc2)c(OCc2cccc(O)c2)c(OCc2ccccc2)c1-c1ccccc1,267.0,531.5840000000003,6.159700000000006,88.05000000000001,1,6,11,5,5,0.08823529411764706,40,200,6.159700000000006
COc1ccccc1COc1c(OCc2ccccc2)cc(c(c1OCc1ccccc1)c1ccccc1)C(=O)[O-],COc1ccccc1COc1c(OCc2ccccc2)cc(C(=O)[O-])c(-c2ccccc2)c1OCc1ccccc1,269.0,545.6110000000003,6.462700000000005,77.05000000000001,0,6,12,5,5,0.11428571428571428,41,206,6.462700000000005
Cc1ccc(c(c1)COc1c(OCc2ccccc2)cc(c(c1OCc1ccccc1)c1ccccc1)C(=O)[O-])C(C)C,Cc1ccc(C(C)C)c(COc2c(OCc3ccccc3)cc(C(=O)[O-])c(-c3ccccc3)c2OCc2ccccc2)c1,271.0,571.6930000000003,7.885920000000008,67.82000000000001,0,5,12,5,5,0.18421052631578946,43,218,7.885920000000008
O=Cc1ccc(c(c1)OC)COc1c(OCc2ccccc2)cc(c(c1OCc1ccccc1)c1ccccc1)C(=O)[O-],COc1cc(C=O)ccc1COc1c(OCc2ccccc2)cc(C(=O)[O-])c(-c2ccccc2)c1OCc1ccccc1,263.0,573.6210000000003,6.275200000000005,94.12,0,7,13,5,5,0.1111111111111111,43,216,6.275200000000005
O=Cc1ccc(c(c1)COc1c(OCc2ccccc2)cc(c(c1OCc1ccccc1)c1ccccc1)C(=O)[O-])OC,COc1ccc(C=O)cc1COc1c(OCc2ccccc2)cc(C(=O)[O-])c(-c2ccccc2)c1OCc1ccccc1,269.0,573.6210000000003,6.275200000000005,94.12,0,7,13,5,5,0.1111111111111111,43,216,6.275200000000005
CC(=O)O,CC(=O)O,267.0,60.05200000000001,0.09089999999999993,37.3,1,1,0,0,0,0.5,4,24,0.09089999999999993
