canonical_smi,solvent_grouped,et30,lambda_max_exp_nm
OCOc1c2ccccc2cc2ccccc12,Acetonitrile,45.6,372.0
CC1(C)c2ccccc2N(c2ccccc2)c2ccc(-c3ccc(-c4nc5c6ccccc6c6ccccc6c5n4-c4ccccc4)cc3)cc21,THF,37.4,367.0
COc1ccc(-c2ccc(C3=C4C(=O)NC(c5ccc(-c6ccc(OC)c(OC)c6)cc5)=C4C(=O)N3)cc2)cc1OC,DCM,40.7,543.0
COc1c(C)ccc2cccnc12,Methanol,55.4,410.0
CCCCN1C(=O)C(=Cc2cc3sc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)cc3s2)C(C)=C(C#N)C1=O,Chloroform,39.1,571.0
COC(=O)c1c(C(=O)OC)c2ccc(-c3ccc4ccccc4c3)nn2c1C(=O)OC,Methanol,55.4,450.0
FC(F)(F)c1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,Chloroform,39.1,327.0
O=C(c1ccccc1)c1c(Cc2ccccc2)oc2ccccc2c1=O,Acetonitrile,45.6,460.0
COc1ccc2cc(-c3sc(C=C(C#N)c4ccc(OC)c(OC)c4)c4c3OCCO4)ccc2c1,DCM,40.7,365.0
CCCOC(=O)c1ccnc(C(=O)OCCC)c1,Acetonitrile,45.6,433.0
Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,Dioxane,36.0,398.0
Cn1nc(-c2ccccc2)c2cc3c(F)c(F)c(F)c(F)c3nc21,Toluene,33.9,401.0
O=C1C(=CC=C2C=C(c3ccccc3)C=C(c3ccccc3)O2)C(=O)c2ccccc21,DCM,40.7,574.0
Cn1c2ccccc2c2cc(-c3cc(-c4ccccc4)nc(-c4ccccc4)c3)ccc21,DMF,43.2,501.0
CN1C(=CN=Nc2ccc3c4c(cccc24)C(=O)NC3=O)C(C)(C)c2ccccc21,THF,37.4,531.0
CCOC(=O)[C@H](C)NC(=CC(=C1C(=O)N(C)c2ccccc21)c1ccccc1)c1ccccc1,DCM,40.7,442.0
c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-c3ccc(-c4ccncn4)s3)cc2)cc1,DMSO,45.1,368.0
COC(=O)C1CC(C#N)=C2C=CC=NN21,Cyclohexane,30.9,508.0
Brc1ccc(-c2cc(-c3ccccc3)nc(-c3ccccc3)c2)cc1,Ethanol,51.9,315.0
C=C(C)C(=O)OCOc1ccc(N=Nc2ccc(OCC)cc2)cc1C,Chloroform,39.1,362.0
CC(=O)CC(=O)c1ccc(-c2nc3ccccc3o2)o1,Toluene,33.9,403.0
Nc1ncc2[nH]cnc2n1,Ethanol,51.9,310.0
C1=C(c2ccc(-c3cccs3)s2)CCC1,Ethanol,51.9,348.0
Clc1ccc(N=NC(=NNc2ccccc2)c2ccccc2)cc1,Methanol,55.4,489.0
O=C1C=CC(=CC=C2C=C(c3ccccc3)OC(c3ccccc3)=C2)c2cccnc21,Acetonitrile,45.6,545.0
CCc1nccnc1C(=O)C=Cc1ccc(Br)cc1,Ethanol,51.9,305.0
CCCOC(=O)c1ccc(C(=O)OCCC)nc1,Acetonitrile,45.6,510.0
COc1ccc(Nc2nc3cc4c(C)c(C(N)=O)c(=O)oc4cc3n2Cc2ccccc2)cc1,Ethanol,51.9,351.0
Clc1nc(Cl)nc(Nc2ccc3c4cccc5cccc(c6cccc2c63)c54)n1,Acetonitrile,45.6,446.0
Cc1ccc(CN[C@@H]2C[C@H]2NCc2ccc(C)o2)o1,Ethanol,51.9,317.0
O=c1cc(-c2cc(-c3cc4c(ccc5ccccc54)oc3=O)nc(-c3cc4c(ccc5ccccc54)oc3=O)c2)c2ccc3ccccc3c2o1,Other,,380.0
CN(C)c1ccc(-c2nc(C=CC=Cc3ccc(C#N)cc3)[nH]c2-c2ccc(N(C)C)cc2)cc1,DCM,40.7,442.0
CC(C)(C)C(=Cc1ccc2ccccc2n1)NN=Cc1ccccc1[N+](=O)[O-],Ethanol,51.9,450.0
Cc1cccc(N(c2ccccc2)c2ccc(C(C#N)=Cc3cccc4ccccc34)cc2)c1,THF,37.4,403.0
CO[Si](CCCSC(=O)c1cccc(C(=O)SCCC[Si](OC)(OC)OC)n1)(OC)OC,Chloroform,39.1,296.0
O=c1[nH]c(-c2ccc(Cl)cc2)cn2nc(-c3ccc(Cl)cc3)cc12,THF,37.4,330.0
C[Si]1(C)c2ccccc2[Si](C)(C)c2ccccc21,Hexane,31.0,266.0
c1ccc2nc3c4cccnc4c4ncccc4c3nc2c1,Acetonitrile,45.6,411.0
NC(Cc1ccc(O)cc1)C(=O)O,Water,63.1,247.0
CCN(CC)c1ccc(C=C(C#N)c2ccc(C=C3SC(=S)N(CC(=O)O)C3=O)s2)cc1,DMF,43.2,531.0
COc1cc(C=Cc2ccc([N+](=O)[O-])cc2[N+](=O)[O-])ccc1OCCO,Methanol,55.4,414.0
Cn1cc(C=C(C#N)c2ccc(C=Nc3ccc(C(=O)O)cc3)s2)c2ccccc21,Chloroform,39.1,452.0
COc1ccc(C=C(C#N)c2ccc3c(c2)c2cc(C(C#N)=Cc4ccc(OC)cc4)ccc2n3C)cc1,DCM,40.7,399.0
COc1cc(OC)c(C=CC(=C(C#N)C#N)c2cc3c(OC)cc4ccccc4c3oc2=O)c(OC)c1,Methanol,55.4,477.0
NNC(=O)Cc1ccccc1F,Ethanol,51.9,357.0
CCN(CC)c1ccc(Nc2cc3oc(-c4ccc(C#N)cc4)nc3c3ccccc23)c(C)c1,Dioxane,36.0,415.0
Cc1ccc(C(C#N)=Cc2ccc(N(c3ccccc3)c3ccccc3)cc2)cc1,Cyclohexane,30.9,402.0
COc1ccc(N(c2ccc(OC)cc2)c2ccc3c4cccc5c(C#CC=C(C#N)C(=O)O)ccc(c6cccc2c63)c54)cc1,Toluene,33.9,493.0
CO[Si](CCCSC(=O)c1ccccc1S)(OC)OC,Chloroform,39.1,315.0
CC(=O)Nc1ccccc1N=Nc1nc2ccc([N+](=O)[O-])cc2s1,Methanol,55.4,353.0
