SMI,canonical_smi,lambda_max_exp_nm,extinction,solvent
COC(=O)C1=C(C)NC2=C(C1c1cccc(c1)Cl)C(=O)C(CC2)(C)C,COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cccc(Cl)c1,362.0,,methanol
COC(=O)C1=C(C)NC2=C(C1c1cccc(c1Cl)Cl)C(=O)C(CC2)(C)C,COC(=O)C1=C(C)NC2=C(C(=O)C(C)(C)CC2)C1c1cccc(Cl)c1Cl,367.0,,methanol
c1ccc2c(c1)NCC2,c1ccc2c(c1)CCN2,409.0,,
OC(=O)C=Cc1ccccc1,O=C(O)C=Cc1ccccc1,215.0,,
OC(=O)c1cc(O)c(c(c1)O)O,O=C(O)c1cc(O)c(O)c(O)c1,226.0,,
COc1cc(ccc1O)C(=O)O,COc1cc(C(=O)O)ccc1O,261.0,,
OC(=O)C=Cc1ccc(cc1)O,O=C(O)C=Cc1ccc(O)cc1,230.0,,
COc1cc(C=CC(=O)O)ccc1O,COc1cc(C=CC(=O)O)ccc1O,235.0,,
Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O,O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,224.0,,
Oc1cc(O)c2c(c1)oc(cc2=O)c1ccc(c(c1)O)O,O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,253.0,,
OCCc1ccc(cc1)O,OCCc1ccc(O)cc1,225.0,,
OC(=O)COc1cc2cc(oc2cc1N(CC(=O)O)CC(=O)O)c1ncc(o1)C(=O)O,O=C(O)COc1cc2cc(-c3ncc(C(=O)O)o3)oc2cc1N(CC(=O)O)CC(=O)O,369.0,22000.0,
CNc1ccccc1,CNc1ccccc1,260.0,,hexane
Nc1ccccc1,Nc1ccccc1,243.0,,hexane
CF,CF,277.0,,Cyclohexane
OC(=O)c1ccccc1Nc1cccc(c1)C(F)(F)F,O=C(O)c1ccccc1Nc1cccc(C(F)(F)F)c1,287.0,,Cyclohexane
OC(=O)c1ccccc1C(=O)Nc1cccc2c1cccc2,O=C(O)c1ccccc1C(=O)Nc1cccc2ccccc12,285.0,,Cyclohexane
OCCNCCO,OCCNCCO,455.0,,
CCc1cccc(c1NC(=O)n1cc2c(c1)C(=NC(=O)c1ccc(cc1)N1CCN(CC1)C)N=N2)CC,CCc1cccc(CC)c1NC(=O)n1cc2c(c1)C(=NC(=O)c1ccc(N3CCN(C)CC3)cc1)N=N2,435.0,,
C[Si](N1CCCC1)(C)C,C[Si](C)(C)N1CCCC1,445.0,,
CN([Si](C)(C)C)C,CN(C)[Si](C)(C)C,435.0,,
CCCNCCC,CCCNCCC,445.0,,
CCN(CC)CC,CCN(CC)CC,444.0,,
CN1CCCCC1,CN1CCCCC1,435.0,,
C[Si](N[Si](C)(C)C)(C)C,C[Si](C)(C)N[Si](C)(C)C,440.0,,
CN([Si](C)(C)C)[Si](C)(C)C,CN([Si](C)(C)C)[Si](C)(C)C,440.0,,
P,P,440.0,,
OC(=O)Cc1ccc(cc1)[N+](=O)[O-],O=C(O)Cc1ccc([N+](=O)[O-])cc1,545.0,,
Oc1ccc(cc1)[N+](=O)[O-],O=[N+]([O-])c1ccc(O)cc1,547.0,,
S,S,503.2,,
Nc1ccc(cc1)[N+](=O)[O-],Nc1ccc([N+](=O)[O-])cc1,545.0,,
O=C(c1ccccc1)c1ccccc1,O=C(c1ccccc1)c1ccccc1,526.0,,EtOAc
Brc1ccc(cc1)c1ccc(cc1)c1ccccc1,Brc1ccc(-c2ccc(-c3ccccc3)cc2)cc1,461.0,,EtOAc
CCOc1ccccc1C(=O)C(=O)c1ccccc1OCC,CCOc1ccccc1C(=O)C(=O)c1ccccc1OCC,476.0,,EtOAc
c1ccc2c(c1)cccc2,c1ccc2ccccc2c1,413.0,,EtOAc
OC1c2ccccc2C=Cc2c1cccc2,OC1c2ccccc2C=Cc2ccccc21,423.0,,EtOAc
c1ccc(cc1)C1=Cc2c(C1)cccc2,C1=C(c2ccccc2)Cc2ccccc21,380.0,,EtOAc
O=c1c2ccccc2sc2c1cccc2,O=c1c2ccccc2sc2ccccc12,635.0,,EtOAc
O=c1c2ccccc2oc2c1cccc2,O=c1c2ccccc2oc2ccccc12,633.0,,EtOAc
O=C(C(=O)c1ccccc1)c1ccccc1,O=C(C(=O)c1ccccc1)c1ccccc1,484.0,,EtOAc
CCC(c1ccc2c(c1)c(=O)c1c(o2)cccc1)(C)C,CCC(C)(C)c1ccc2oc3ccccc3c(=O)c2c1,642.0,,EtOAc
